id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD012506,C04817,P004,2022-09-08,5,7019.86,annulé,fes,mobile_payment,L016,
CMD011125,C00492,P031,Mar 16 2024,5,76.14,livré,Tanger,virement,L017,2024-03-23
CMD020500,C04796,P020,2024-10-31,2,430.02,livré,Rabat,virement,L014,2024-11-06
CMD026304,C01635,P014,25/08/2023,4,340.64,retourné,Agadir,mobile_payment,L037,
CMD005368,C06560,P022,2023-09-18,5,2719.64,retourné,TANGER,cash_delivery,L049,
CMD016223,C01113,P016,2022-02-21,4,8119.27,retourné,Oujda,mobile_payment,,
CMD012543,C01802,P034,14/08/2022,4,150.84,OK,Meknès,mobile_payment,L049,
CMD032944,C03970,P014,2024-06-13,4,437.66,OK,Rabat,carte_bancaire,L048,
CMD022566,C01797,P032,2022-01-31,1,72.04,annulé,Casablanca,mobile_payment,L022,
CMD039699,C02801,P033,22/03/2022,2,114.93,retourne,mkch,carte_bancaire,L012,
CMD007500,C03600,P022,16/08/2024,3,2343.41,retourné,Fès,virement,L020,
CMD046141,C03941,P010,Nov 02 2024,1,8798.3,annulé,Tétouan,virement,L037,
CMD009585,C06189,P031,24/05/2023,3,90.2,KO,Marrakech,virement,L014,
CMD022916,C06121,P005,09/03/2024,3,10334.97,annule,RABAT,cash_delivery,L046,
CMD039824,C04134,P021,14/09/2022,5,586.86,KO,Tétouan,mobile_payment,L005,
CMD024697,C01822,P010,2023-10-20,3,10056.02,en_cours,Marrakech,mobile_payment,L001,
CMD036865,C02053,P002,Nov 08 2022,5,12342.87,retourné,Meknès,cash_delivery,L002,
CMD041306,C04222,P022,2023-04-02,3,2263.68,en_cours,RABAT,cash_delivery,L043,
CMD032156,C04640,P021,05/03/2022,1,589.08,OK,Agadir,cash_delivery,L005,
CMD003851,C07184,P027,19/08/2024,2,268.0,retourné,Meknès,virement,L045,
CMD006809,C07592,P004,24/01/2023,5,6963.05,DONE,casa,virement,,2023-01-31
CMD009799,C00555,P012,13/07/2022,2,1389.2,livré,TANGER,carte_bancaire,L003,2022-07-18
CMD009952,C06222,P028,2023-11-13,2,353.65,annule,fes,carte_bancaire,L015,
CMD009657,C01455,P019,Jul 13 2024,1,349.2,livré,Agadir,mobile_payment,L010,2024-07-17
CMD003793,C03014,P028,24/07/2023,2,444.46,retourne,Agadir,virement,L044,
CMD044931,C07493,P028,2023-12-08,3,403.37,retourné,Fès,mobile_payment,,
CMD015852,C03026,P005,2024-05-03,2,9113.31,en_cours,Casablanca,mobile_payment,,
CMD000386,C03804,P024,08/12/2024,1,1154.24,livré,Kénitra,virement,L009,2024-12-11
CMD005526,C07298,P010,Jul 18 2022,4,7796.78,en_cours,Agadir,carte_bancaire,L028,
CMD028076,C05714,P015,Feb 02 2024,3,8214.69,en_cours,Kénitra,cash_delivery,L020,
CMD033346,C00772,P006,12/02/2024,1,15026.3,livré,Tétouan,mobile_payment,L009,2024-02-15
CMD010172,C06310,P021,11/04/2023,5,640.64,DONE,Marrakech,mobile_payment,L043,2023-04-15
CMD014112,C07180,P006,19/09/2024,1,16744.01,DONE,Tanger,virement,L009,2024-09-24
CMD049281,C02756,P033,31/08/2023,2,111.49,OK,Rabat,carte_bancaire,,
CMD035536,C06631,P035,22/11/2023,3,105.72,DONE,RABAT,mobile_payment,L029,2023-11-23
CMD011918,C06984,P020,2022-04-21,5,463.36,livré,Rabat,cash_delivery,,2022-04-23
CMD031303,C07929,P003,Mar 18 2024,3,9194.47,livré,Rabat,carte_bancaire,L046,2024-03-21
CMD042191,C03836,P014,2024-03-10,4,430.56,en_cours,fes,virement,L016,
CMD025988,C06666,P033,2023-05-23,4,136.35,en_cours,fes,carte_bancaire,L044,
CMD041354,C02265,P020,May 20 2024,5,453.32,livré,Rabat,mobile_payment,L026,2024-05-25
CMD008566,C05737,P006,20/05/2022,3,14404.5,livre,Rabat,mobile_payment,L039,2022-05-22
CMD029187,C06798,P014,12/03/2024,5,365.52,OK,Meknès,virement,L019,
CMD015960,C07625,P027,28/03/2023,4,282.5,livré,Kénitra,virement,L034,2023-04-02
CMD011093,C05197,P006,Jul 29 2024,4,15595.9,DONE,Agadir,cash_delivery,L005,2024-08-02
CMD000213,C07032,P004,08/02/2022,4,7249.67,en_cours,Rabat,mobile_payment,L031,
CMD023037,C00977,P034,12/05/2023,2,190.61,livré,Casablanca,virement,L050,2023-05-15
CMD032963,C01178,P028,01/10/2024,4,353.09,livré,Oujda,virement,L019,2024-10-06
CMD018559,C07655,P004,01/07/2024,2,5897.3,livré,Fès,cash_delivery,L040,2024-07-06
CMD012567,C05481,P005,03/01/2023,3,9874.02,OK,Marrakech,virement,L003,
CMD017024,C06064,P004,06/10/2023,4,6756.61,en_cours,Oujda,carte_bancaire,,
CMD004109,C06131,P017,15/07/2023,3,940.1,livré,Kénitra,carte_bancaire,L018,2023-07-16
CMD023784,C00282,P033,2023-04-05,1,112.89,en_cours,Marrakech,cash_delivery,L032,
