id_date,id_produit,id_client,id_region,id_livreur,quantite_vendue,montant_ht,montant_ttc,cout_livraison,delai_livraison_jours,remise_pct,statut_commande
20220809,4,6667,13,16,5,35099.3,42119.16,35.74,,20.0,annulé
20241031,20,1570,7,14,2,860.04,1032.05,72.37,,10.0,livré
20230825,14,7021,15,37,4,1362.56,1635.07,69.47,,0.0,retourné
20230918,22,148,1,49,5,13598.2,16317.84,39.09,,0.0,retourné
20220221,16,1841,16,51,4,32477.08,38972.5,51.7,,5.0,retourné
20240613,14,5589,7,48,4,1750.64,2100.77,31.97,,0.0,en_cours
20220131,32,7080,4,22,1,72.04,86.45,44.38,,0.0,annulé
20220322,33,1229,10,12,2,229.86,275.83,65.52,,10.0,retourné
20240816,22,3183,13,20,3,7030.23,8436.28,66.06,,5.0,retourné
20230524,31,3687,10,14,3,270.6,324.72,50.59,,0.0,annulé
20220914,21,4802,2,5,5,2934.3,3521.16,35.37,,20.0,annulé
20231020,10,2307,10,1,3,30168.06,36201.67,55.38,,0.0,en_cours
20221108,2,6040,14,2,5,61714.35,74057.22,21.69,,0.0,retourné
20230204,22,59,7,43,3,6791.04,8149.25,41.63,,10.0,en_cours
20220305,21,958,15,5,1,589.08,706.9,37.16,,10.0,en_cours
20220713,12,2278,1,3,2,2778.4,3334.08,50.38,5.0,0.0,livré
20240713,19,3425,15,10,1,349.2,419.04,15.93,4.0,0.0,livré
20230724,28,7245,15,44,2,888.92,1066.7,31.88,,15.0,retourné
20230812,28,7199,13,51,3,1210.11,1452.13,22.76,,15.0,retourné
20240305,5,3078,4,51,2,18226.62,21871.94,40.09,,10.0,en_cours
20241208,24,70,9,9,1,1154.24,1385.09,26.92,,10.0,livré
20240212,6,2089,2,9,1,15026.3,18031.56,57.46,3.0,20.0,livré
20230411,21,3180,10,43,5,3203.2,3843.84,25.49,4.0,5.0,livré
20240919,6,6210,1,9,1,16744.01,20092.81,58.67,5.0,15.0,livré
20230831,33,5027,7,51,2,222.98,267.58,42.59,,0.0,en_cours
20231122,35,926,7,29,3,317.16,380.59,35.75,1.0,20.0,livré
20240318,3,4544,7,46,3,27583.41,33100.09,38.45,3.0,15.0,livré
20241003,14,5045,13,16,4,1722.24,2066.69,17.47,,0.0,en_cours
20230523,33,2418,13,44,4,545.4,654.48,71.22,,5.0,en_cours
20230328,27,6800,9,34,4,1130.0,1356.0,41.33,,20.0,livré
20240729,6,175,15,5,4,62383.6,74860.32,45.99,,0.0,livré
20220208,4,3852,7,31,4,28998.68,34798.42,72.06,,0.0,en_cours
20230512,34,1209,4,50,2,381.22,457.46,41.51,3.0,0.0,livré
20241001,28,3104,16,19,4,1412.36,1694.83,59.93,,15.0,livré
20240701,4,2652,13,40,2,11794.6,14153.52,59.7,,5.0,livré
20230103,5,1961,10,3,3,29622.06,35546.47,58.14,,0.0,en_cours
20230715,17,4981,9,18,3,2820.3,3384.36,52.35,1.0,15.0,livré
20230504,33,4313,10,32,1,112.89,135.47,27.42,,5.0,en_cours
20231124,23,4465,1,8,5,7027.45,8432.94,48.65,,0.0,annulé
20240116,1,1954,15,41,2,22295.42,26754.5,23.45,,10.0,en_cours
20230612,6,47,7,23,5,76228.0,91473.6,68.26,183.0,5.0,livré
20220707,34,2350,1,1,5,761.15,913.38,51.26,123.0,0.0,livré
20241202,23,2920,1,51,1,1336.68,1604.02,74.79,,20.0,en_cours
20220723,31,1581,4,30,4,407.24,488.69,49.3,,0.0,retourné
20231212,6,3305,1,31,2,28049.34,33659.21,40.67,,15.0,retourné
20220927,12,3811,15,30,4,6355.72,7626.86,32.22,,15.0,en_cours
20220117,8,3360,14,44,1,12002.66,14403.19,41.0,,0.0,annulé
20240704,11,7443,10,7,4,10303.48,12364.18,62.41,65.0,10.0,livré
20240521,25,2979,1,17,1,1122.87,1347.44,46.97,,10.0,en_cours
20240923,23,5276,1,36,3,3724.35,4469.22,51.34,,5.0,retourné
20230717,9,1297,4,5,1,13620.91,16345.09,40.53,,0.0,en_cours
20241230,28,3110,10,13,5,1746.1,2095.32,35.91,,15.0,en_cours
20220417,27,918,14,20,3,785.73,942.88,63.11,,0.0,en_cours
20220709,27,5844,13,29,5,1110.75,1332.9,30.6,,0.0,en_cours
20241221,33,3999,2,4,5,680.6,816.72,24.8,,15.0,en_cours
20240807,10,2346,1,49,1,9245.08,11094.1,60.22,,20.0,annulé
